DateExecuted,Type,MarketName,ContractName,Shares,Price,ProfitLoss,Fees,Risk,CreditDebit,URL
6/25/2019 4:54 PM,Sell Yes,How many tweets will @whitehouse post from noon June 20 to noon June 27?,150-159,13,$0.29,($0.13),$0.000,$3.900,$3.770,https://www.predictit.org/markets/detail/5617
6/25/2019 4:54 PM,Sell Yes,How many tweets will @whitehouse post from noon June 20 to noon June 27?,150-159,25,$0.30,$0.44,($0.044),$7.060,$7.456,https://www.predictit.org/markets/detail/5617
6/25/2019 4:42 PM,Buy No,How many tweets will @whitehouse post from noon June 20 to noon June 27?,170-179,28,$0.93,$0.00,$0.000,$1.764,$1.764,https://www.predictit.org/markets/detail/5617
6/25/2019 4:24 PM,Sell Yes,How many tweets will @whitehouse post from noon June 20 to noon June 27?,139-,1,$0.15,($0.04),$0.000,$0.190,$0.150,https://www.predictit.org/markets/detail/5617
6/25/2019 4:24 PM,Sell Yes,How many tweets will @whitehouse post from noon June 20 to noon June 27?,139-,96,$0.15,($4.24),$0.000,$18.640,$14.400,https://www.predictit.org/markets/detail/5617
6/25/2019 4:24 PM,Sell Yes,How many tweets will @whitehouse post from noon June 20 to noon June 27?,139-,5,$0.16,($0.20),$0.000,$1.000,$0.800,https://www.predictit.org/markets/detail/5617
6/25/2019 4:15 PM,Sell Yes,How many tweets will @whitehouse post from noon June 20 to noon June 27?,139-,50,$0.13,($4.95),$0.000,$11.450,$6.500,https://www.predictit.org/markets/detail/5617
6/25/2019 3:57 PM,Buy No,How many tweets will @whitehouse post from noon June 20 to noon June 27?,170-179,100,$0.95,$0.00,$0.000,$4.500,$4.500,https://www.predictit.org/markets/detail/5617
6/25/2019 3:57 PM,Sell Yes,How many tweets will @whitehouse post from noon June 20 to noon June 27?,150-159,78,$0.35,$5.46,($0.546),$21.840,$26.754,https://www.predictit.org/markets/detail/5617
6/25/2019 3:04 PM,Buy Yes,How many tweets will @whitehouse post from noon June 20 to noon June 27?,150-159,16,$0.30,$0.00,$0.000,($4.800),($4.800),https://www.predictit.org/markets/detail/5617
6/25/2019 2:46 PM,Sell Yes,How many tweets will @whitehouse post from noon June 20 to noon June 27?,139-,90,$0.20,($8.95),$0.000,$26.950,$18.000,https://www.predictit.org/markets/detail/5617
6/25/2019 2:43 PM,Sell Yes,How many tweets will @whitehouse post from noon June 20 to noon June 27?,139-,7,$0.23,($0.49),$0.000,$2.100,$1.610,https://www.predictit.org/markets/detail/5617
6/25/2019 2:40 PM,Buy Yes,How many tweets will @whitehouse post from noon June 20 to noon June 27?,150-159,100,$0.28,$0.00,$0.000,($28.000),($28.000),https://www.predictit.org/markets/detail/5617
6/25/2019 2:38 PM,Buy No,How many tweets will @whitehouse post from noon June 20 to noon June 27?,170-179,75,$0.95,$0.00,$0.000,$3.375,$3.375,https://www.predictit.org/markets/detail/5617
6/25/2019 2:07 PM,Buy Yes,How many tweets will @whitehouse post from noon June 20 to noon June 27?,139-,1,$0.19,$0.00,$0.000,($0.190),($0.190),https://www.predictit.org/markets/detail/5617
6/25/2019 2:05 PM,Buy Yes,How many tweets will @realDonaldTrump post from noon June 19 to noon June 26?,99-,22,$0.92,$0.00,$0.000,($20.240),($20.240),https://www.predictit.org/markets/detail/5614
6/25/2019 1:57 PM,Buy Yes,How many tweets will @whitehouse post from noon June 20 to noon June 27?,139-,49,$0.19,$0.00,$0.000,($9.310),($9.310),https://www.predictit.org/markets/detail/5617
6/25/2019 1:48 PM,Buy Yes,How many tweets will @whitehouse post from noon June 20 to noon June 27?,139-,25,$0.20,$0.00,$0.000,($5.000),($5.000),https://www.predictit.org/markets/detail/5617
6/25/2019 1:37 PM,Buy Yes,How many tweets will @whitehouse post from noon June 20 to noon June 27?,139-,7,$0.19,$0.00,$0.000,($1.330),($1.330),https://www.predictit.org/markets/detail/5617
6/25/2019 1:36 PM,Sell No,How many tweets will @whitehouse post from noon June 20 to noon June 27?,180-189,85,$0.98,$2.55,($0.255),($3.825),($1.530),https://www.predictit.org/markets/detail/5617
6/25/2019 1:17 PM,Buy Yes,How many tweets will @whitehouse post from noon June 20 to noon June 27?,139-,30,$0.20,$0.00,$0.000,($6.000),($6.000),https://www.predictit.org/markets/detail/5617
6/25/2019 1:11 PM,Buy Yes,How many tweets will @realDonaldTrump post from noon June 19 to noon June 26?,99-,25,$0.92,$0.00,$0.000,($23.000),($23.000),https://www.predictit.org/markets/detail/5614
6/25/2019 1:08 PM,Sell No,How many tweets will @whitehouse post from noon June 20 to noon June 27?,170-179,15,$0.92,$0.30,($0.030),($1.350),($1.080),https://www.predictit.org/markets/detail/5617
6/25/2019 1:08 PM,Sell No,How many tweets will @whitehouse post from noon June 20 to noon June 27?,170-179,301,$0.92,$6.15,($0.615),($27.207),($21.672),https://www.predictit.org/markets/detail/5617
6/25/2019 1:08 PM,Sell No,How many tweets will @whitehouse post from noon June 20 to noon June 27?,170-179,37,$0.93,$1.48,($0.148),($3.663),($2.331),https://www.predictit.org/markets/detail/5617
6/25/2019 1:03 PM,Sell Yes,How many tweets will @whitehouse post from noon June 20 to noon June 27?,140-149,15,$0.27,$0.15,($0.015),$3.900,$4.035,https://www.predictit.org/markets/detail/5617
6/25/2019 1:03 PM,Sell Yes,How many tweets will @whitehouse post from noon June 20 to noon June 27?,140-149,54,$0.27,$1.33,($0.133),$13.250,$14.447,https://www.predictit.org/markets/detail/5617
6/25/2019 12:56 PM,Buy Yes,How many tweets will @whitehouse post from noon June 20 to noon June 27?,139-,25,$0.21,$0.00,$0.000,($5.250),($5.250),https://www.predictit.org/markets/detail/5617
6/25/2019 12:53 PM,Buy Yes,How many tweets will @realDonaldTrump post from noon June 19 to noon June 26?,99-,50,$0.91,$0.00,$0.000,($45.500),($45.500),https://www.predictit.org/markets/detail/5614
6/25/2019 12:51 PM,Buy Yes,How many tweets will @whitehouse post from noon June 20 to noon June 27?,139-,20,$0.28,$0.00,$0.000,($5.600),($5.600),https://www.predictit.org/markets/detail/5617
6/25/2019 12:50 PM,Buy Yes,How many tweets will @whitehouse post from noon June 20 to noon June 27?,139-,5,$0.28,$0.00,$0.000,($1.400),($1.400),https://www.predictit.org/markets/detail/5617
6/25/2019 12:46 PM,Buy Yes,How many tweets will @whitehouse post from noon June 20 to noon June 27?,139-,10,$0.29,$0.00,$0.000,($2.900),($2.900),https://www.predictit.org/markets/detail/5617
6/25/2019 12:45 PM,Buy Yes,How many tweets will @whitehouse post from noon June 20 to noon June 27?,139-,25,$0.31,$0.00,$0.000,($7.750),($7.750),https://www.predictit.org/markets/detail/5617
6/25/2019 12:25 PM,Sell No,How many tweets will @whitehouse post from noon June 20 to noon June 27?,150-159,1,$0.80,$0.07,($0.007),($0.243),($0.180),https://www.predictit.org/markets/detail/5617
6/25/2019 12:21 PM,Buy Yes,How many tweets will @whitehouse post from noon June 20 to noon June 27?,139-,50,$0.30,$0.00,$0.000,($15.000),($15.000),https://www.predictit.org/markets/detail/5617
6/25/2019 12:17 PM,Buy Yes,How many tweets will @whitehouse post from noon June 20 to noon June 27?,140-149,15,$0.26,$0.00,$0.000,($3.900),($3.900),https://www.predictit.org/markets/detail/5617
6/25/2019 12:17 PM,Buy Yes,How many tweets will @whitehouse post from noon June 20 to noon June 27?,140-149,29,$0.25,$0.00,$0.000,($7.250),($7.250),https://www.predictit.org/markets/detail/5617
6/25/2019 12:17 PM,Buy Yes,How many tweets will @whitehouse post from noon June 20 to noon June 27?,140-149,25,$0.24,$0.00,$0.000,($6.000),($6.000),https://www.predictit.org/markets/detail/5617
6/25/2019 12:17 PM,Buy Yes,How many tweets will @whitehouse post from noon June 20 to noon June 27?,139-,2,$0.30,$0.00,$0.000,($0.600),($0.600),https://www.predictit.org/markets/detail/5617
6/25/2019 12:16 PM,Buy Yes,Will Donald Trump be president at year-end 2019?,Yes,64,$0.92,$0.00,$0.000,($58.880),($58.880),https://www.predictit.org/markets/detail/3352
6/25/2019 12:15 PM,Closed,How many @realDonaldTrump tweets mention "impeach" noon 6/18 - noon 6/25?,0,105,$1.00,$14.98,($1.498),$90.020,$103.502,https://www.predictit.org/markets/detail/5612
6/25/2019 12:14 PM,Closed,How many @realDonaldTrump tweets mention "fake news" noon 6/18 - noon 6/25?,2,99,$1.00,$7.74,($0.774),$91.260,$98.226,https://www.predictit.org/markets/detail/5611
6/25/2019 12:14 PM,Closed,How many @realDonaldTrump tweets mention "fake news" noon 6/18 - noon 6/25?,1,200,$1.00,$20.00,($2.000),$180.000,$198.000,https://www.predictit.org/markets/detail/5611
6/25/2019 12:14 PM,Closed,How many @realDonaldTrump tweets mention "fake news" noon 6/18 - noon 6/25?,0,105,$1.00,$4.25,($0.425),($3.825),$0.000,https://www.predictit.org/markets/detail/5611
6/25/2019 12:14 PM,Closed,How many @realDonaldTrump tweets mention "fake news" noon 6/18 - noon 6/25?,3,101,$1.00,$27.17,($2.717),($24.453),$0.000,https://www.predictit.org/markets/detail/5611
6/25/2019 12:14 PM,Closed,How many @realDonaldTrump tweets mention "fake news" noon 6/18 - noon 6/25?,4,90,$0.00,($12.25),$0.000,$12.250,$0.000,https://www.predictit.org/markets/detail/5611
6/25/2019 12:14 PM,Closed,How many @realDonaldTrump tweets mention "fake news" noon 6/18 - noon 6/25?,5,18,$0.00,($0.90),$0.000,$0.900,$0.000,https://www.predictit.org/markets/detail/5611
6/25/2019 12:14 PM,Closed,How many @realDonaldTrump tweets mention "fake news" noon 6/18 - noon 6/25?,6,86,$0.00,($11.47),$0.000,$11.470,$0.000,https://www.predictit.org/markets/detail/5611
6/25/2019 12:14 PM,Closed,How many @realDonaldTrump tweets mention "fake news" noon 6/18 - noon 6/25?,9,320,$1.00,$65.16,($6.516),$56.840,$115.484,https://www.predictit.org/markets/detail/5611
6/25/2019 12:05 PM,Buy No,How many tweets will @whitehouse post from noon June 20 to noon June 27?,150-159,1,$0.73,$0.00,$0.000,$0.243,$0.243,https://www.predictit.org/markets/detail/5617
6/25/2019 11:10 AM,Buy Yes,How many @realDonaldTrump tweets mention "fake news" noon 6/18 - noon 6/25?,2,58,$0.98,$0.00,$0.000,($56.840),($56.840),https://www.predictit.org/markets/detail/5611
6/25/2019 11:09 AM,Sell Yes,Will Donald Trump be president at year-end 2019?,Yes,40,$0.91,$0.00,$0.000,$36.400,$36.400,https://www.predictit.org/markets/detail/3352
6/25/2019 10:33 AM,Buy Yes,How many tweets will @realDonaldTrump post from noon June 19 to noon June 26?,99-,14,$0.93,$0.00,$0.000,($13.020),($13.020),https://www.predictit.org/markets/detail/5614
6/25/2019 10:05 AM,Sell Yes,How many tweets will @whitehouse post from noon June 20 to noon June 27?,140-149,1,$0.27,$0.05,($0.005),$0.220,$0.265,https://www.predictit.org/markets/detail/5617
6/25/2019 10:05 AM,Sell Yes,How many tweets will @whitehouse post from noon June 20 to noon June 27?,140-149,125,$0.27,$8.72,($0.872),$25.030,$32.878,https://www.predictit.org/markets/detail/5617
6/25/2019 9:49 AM,Buy Yes,How many tweets will @realDonaldTrump post from noon June 19 to noon June 26?,99-,25,$0.91,$0.00,$0.000,($22.750),($22.750),https://www.predictit.org/markets/detail/5614
6/25/2019 9:48 AM,Sell Yes,How many tweets will @whitehouse post from noon June 20 to noon June 27?,140-149,52,$0.25,$3.41,($0.341),$9.590,$12.659,https://www.predictit.org/markets/detail/5617
6/25/2019 8:33 AM,Sell Yes,How many tweets will @whitehouse post from noon June 20 to noon June 27?,140-149,19,$0.23,$0.95,($0.095),$3.420,$4.275,https://www.predictit.org/markets/detail/5617
6/25/2019 8:26 AM,Sell Yes,How many tweets will @whitehouse post from noon June 20 to noon June 27?,140-149,1,$0.23,$0.05,($0.005),$0.180,$0.225,https://www.predictit.org/markets/detail/5617
6/25/2019 8:20 AM,Buy Yes,How many tweets will @whitehouse post from noon June 20 to noon June 27?,140-149,1,$0.22,$0.00,$0.000,($0.220),($0.220),https://www.predictit.org/markets/detail/5617
6/25/2019 8:20 AM,Buy Yes,How many tweets will @whitehouse post from noon June 20 to noon June 27?,140-149,1,$0.21,$0.00,$0.000,($0.210),($0.210),https://www.predictit.org/markets/detail/5617
6/25/2019 8:20 AM,Buy Yes,How many tweets will @whitehouse post from noon June 20 to noon June 27?,140-149,1,$0.20,$0.00,$0.000,($0.200),($0.200),https://www.predictit.org/markets/detail/5617
6/25/2019 7:57 AM,Sell Yes,How many tweets will @whitehouse post from noon June 20 to noon June 27?,140-149,1,$0.24,$0.06,($0.006),$0.180,$0.234,https://www.predictit.org/markets/detail/5617
6/25/2019 5:02 AM,Buy Yes,How many @realDonaldTrump tweets mention "fake news" noon 6/18 - noon 6/25?,2,3,$0.83,$0.00,$0.000,($2.490),($2.490),https://www.predictit.org/markets/detail/5611
6/25/2019 2:32 AM,Sell Yes,How many tweets will @whitehouse post from noon June 20 to noon June 27?,140-149,25,$0.21,$1.00,($0.100),$4.250,$5.150,https://www.predictit.org/markets/detail/5617
6/24/2019 11:39 PM,Buy Yes,How many @realDonaldTrump tweets mention "fake news" noon 6/18 - noon 6/25?,2,1,$0.85,$0.00,$0.000,($0.850),($0.850),https://www.predictit.org/markets/detail/5611
6/24/2019 11:39 PM,Buy Yes,How many @realDonaldTrump tweets mention "fake news" noon 6/18 - noon 6/25?,2,29,$0.84,$0.00,$0.000,($24.360),($24.360),https://www.predictit.org/markets/detail/5611
6/24/2019 11:39 PM,Sell Yes,Will Donald Trump be president at year-end 2019?,Yes,25,$0.91,$0.00,$0.000,$22.750,$22.750,https://www.predictit.org/markets/detail/3352
6/24/2019 11:38 PM,Sell No,What will Pete Buttigieg's RCP polling rank be on June 30?,3rd-or-higher,10,$0.98,$0.20,($0.020),$9.600,$9.780,https://www.predictit.org/markets/detail/5579
6/24/2019 11:37 PM,Buy Yes,How many @realDonaldTrump tweets mention "fake news" noon 6/18 - noon 6/25?,2,8,$0.84,$0.00,$0.000,($6.720),($6.720),https://www.predictit.org/markets/detail/5611
